year	team_a	score_a	score_b	team_b
2006	Italy	1	1	United States
2006	Czech Republic	0	2	Italy
2006	Ghana	2	1	United States
2006	Australia	3	1	Japan
2006	Brazil	1	0	Croatia
2006	Japan	0	0	Croatia
2006	Brazil	2	0	Australia
2006	Japan	1	4	Brazil
2006	Croatia	2	2	Australia
2006	South Korea	2	1	Togo
2006	France	0	0	Switzerland
2006	France	1	1	South Korea
2006	Togo	0	2	Switzerland
2006	Togo	0	2	France
2006	Switzerland	2	0	South Korea
2006	Spain	4	0	Ukraine
2006	Tunisia	2	2	Saudi Arabia
2006	Saudi Arabia	0	4	Ukraine
2006	Spain	3	1	Tunisia
2006	Saudi Arabia	0	1	Spain
2006	Ukraine	1	0	Tunisia
2010	South Africa	1	1	Mexico
2010	Uruguay	0	0	France
2010	South Africa	0	3	Uruguay
2010	France	0	2	Mexico
2010	Mexico	0	1	Uruguay
2010	France	1	2	South Africa
2010	South Korea	2	0	Greece
2010	Argentina	1	0	Nigeria
2010	Argentina	4	1	South Korea
2010	Greece	2	1	Nigeria
2010	Nigeria	2	2	South Korea
2010	Greece	0	2	Argentina
2010	England	1	1	United States
2010	Algeria	0	1	Slovenia
2010	Slovenia	2	2	United States
2010	England	0	0	Algeria
2010	Slovenia	0	1	England
2010	United States	1	0	Algeria
2010	Serbia	0	1	Ghana
2010	Germany	4	0	Australia
2010	Germany	0	1	Serbia
2010	Ghana	1	1	Australia
2010	Ghana	0	1	Germany
2010	Australia	2	1	Serbia
2010	Netherlands	2	0	Denmark
2010	Japan	1	0	Cameroon
2010	Netherlands	1	0	Japan
2010	Cameroon	1	2	Denmark
2010	Denmark	1	3	Japan
2010	Cameroon	1	2	Netherlands
2010	Italy	1	1	Paraguay
2010	New Zealand	1	1	Slovakia
2010	Slovakia	0	2	Paraguay
2010	Italy	1	1	New Zealand
2010	Slovakia	3	2	Italy
2010	Paraguay	0	0	New Zealand
2010	Ivory Coast	0	0	Portugal
2010	Brazil	2	1	North Korea
2010	Brazil	3	1	Ivory Coast
2010	Portugal	7	0	North Korea
2010	Portugal	0	0	Brazil
2010	North Korea	0	3	Ivory Coast
2010	Honduras	0	1	Chile
2010	Spain	0	1	Switzerland
2010	Chile	1	0	Switzerland
2010	Spain	2	0	Honduras
2010	Chile	1	2	Spain
2010	Switzerland	0	0	Honduras
2014	Brazil	3	1	Croatia
2014	Mexico	1	0	Cameroon
2014	Brazil	0	0	Mexico
2014	Cameroon	0	4	Croatia
2014	Cameroon	1	4	Brazil
2014	Croatia	1	3	Mexico
2014	Spain	1	5	Netherlands
2014	Chile	3	1	Australia
2014	Australia	2	3	Netherlands
2014	Spain	0	2	Chile
2014	Australia	0	3	Spain
2014	Netherlands	2	0	Chile
2014	Colombia	3	0	Greece
2014	Ivory Coast	2	1	Japan
2014	Colombia	2	1	Ivory Coast
2014	Japan	0	0	Greece
2014	Japan	1	4	Colombia
2014	Greece	2	1	Ivory Coast
2014	Uruguay	1	3	Costa Rica
2014	England	1	2	Italy
2014	Uruguay	2	1	England
2014	Italy	0	1	Costa Rica
2014	Italy	0	1	Uruguay
2014	Costa Rica	0	0	England
2014	Switzerland	2	1	Ecuador
2014	France	3	0	Honduras
2014	Switzerland	2	5	France
2014	Honduras	1	2	Ecuador
2014	Honduras	0	3	Switzerland
2014	Ecuador	0	0	France
2014	Argentina	2	1	Bosnia and Herzegovina
2014	Iran	0	0	Nigeria
2014	Argentina	1	0	Iran
2014	Nigeria	1	0	Bosnia and Herzegovina
2014	Nigeria	2	3	Argentina
2014	Bosnia and Herzegovina	3	1	Iran
2014	Germany	4	0	Portugal
2014	Ghana	1	2	United States
2014	Germany	2	2	Ghana
2014	United States	2	2	Portugal
2014	United States	0	1	Germany
2014	Portugal	2	1	Ghana
2014	Belgium	2	1	Algeria
2014	Russia	1	1	South Korea
2014	Belgium	1	0	Russia
2014	South Korea	2	4	Algeria
2014	South Korea	0	1	Belgium
2014	Algeria	1	1	Russia
2018	Russia	5	0	Saudi Arabia
2018	Egypt	0	1	Uruguay
2018	Russia	3	1	Egypt
2018	Uruguay	1	0	Saudi Arabia
2018	Uruguay	3	0	Russia
2018	Saudi Arabia	2	1	Egypt
2018	Morocco	0	1	Iran
2018	Portugal	3	3	Spain
2018	Portugal	1	0	Morocco
2018	Iran	0	1	Spain
2018	Iran	1	1	Portugal
2018	Spain	2	2	Morocco
2018	France	2	1	Australia
2018	Peru	0	1	Denmark
2018	Denmark	1	1	Australia
2018	France	1	0	Peru
2018	Denmark	0	0	France
2018	Australia	0	2	Peru
2018	Argentina	1	1	Iceland
2018	Croatia	2	0	Nigeria
2018	Argentina	0	3	Croatia
2018	Nigeria	2	0	Iceland
2018	Nigeria	1	2	Argentina
2018	Iceland	1	2	Croatia
2018	Costa Rica	0	1	Serbia
2018	Brazil	1	1	Switzerland
2018	Brazil	2	0	Costa Rica
2018	Serbia	1	2	Switzerland
2018	Serbia	0	2	Brazil
2018	Switzerland	2	2	Costa Rica
2018	Germany	0	1	Mexico
2018	Sweden	1	0	South Korea
2018	South Korea	1	2	Mexico
2018	Germany	2	1	Sweden
2018	South Korea	2	0	Germany
2018	Mexico	0	3	Sweden
2018	Belgium	3	0	Panama
2018	Tunisia	1	2	England
2018	Belgium	5	2	Tunisia
2018	England	6	1	Panama
2018	England	0	1	Belgium
2018	Panama	1	2	Tunisia
2018	Colombia	1	2	Japan
2018	Poland	1	2	Senegal
2018	Japan	2	2	Senegal
2018	Poland	0	3	Colombia
2018	Japan	0	1	Poland
2018	Senegal	0	1	Colombia
2022	Qatar	0	2	Ecuador
2022	Senegal	0	2	Netherlands
2022	Qatar	1	3	Senegal
2022	Netherlands	1	1	Ecuador
2022	Ecuador	1	2	Senegal
2022	Netherlands	2	0	Qatar
2022	England	6	2	Iran
2022	United States	1	1	Wales
2022	Wales	0	2	Iran
2022	England	0	0	United States
2022	Wales	0	3	England
2022	Iran	0	1	United States
2022	Argentina	1	2	Saudi Arabia
2022	Mexico	0	0	Poland
2022	Poland	2	0	Saudi Arabia
2022	Argentina	2	0	Mexico
2022	Poland	0	2	Argentina
2022	Saudi Arabia	1	2	Mexico
2022	Denmark	0	0	Tunisia
2022	France	4	1	Australia
2022	Tunisia	0	1	Australia
2022	France	2	1	Denmark
2022	Australia	1	0	Denmark
2022	Tunisia	1	0	France
2022	Germany	1	2	Japan
2022	Spain	7	0	Costa Rica
2022	Japan	0	1	Costa Rica
2022	Spain	1	1	Germany
2022	Japan	2	1	Spain
2022	Costa Rica	2	4	Germany
2022	Morocco	0	0	Croatia
2022	Belgium	1	0	Canada
2022	Belgium	0	2	Morocco
2022	Croatia	4	1	Canada
2022	Croatia	0	0	Belgium
2022	Canada	1	2	Morocco
2022	Switzerland	1	0	Cameroon
2022	Brazil	2	0	Serbia
2022	Cameroon	3	3	Serbia
2022	Brazil	1	0	Switzerland
2022	Serbia	2	3	Switzerland
2022	Cameroon	0	1	Brazil
2022	Uruguay	0	0	South Korea
2022	Portugal	3	2	Ghana
2022	South Korea	2	3	Ghana
2022	Portugal	2	0	Uruguay
2022	Ghana	0	2	Uruguay
2022	South Korea	2	1	Portugal
2026	Mexico	2	0	South Africa
2026	South Korea	2	1	Czech Republic
2026	Canada	1	1	Bosnia and Herzegovina
2026	Qatar	1	1	Switzerland
2026	Brazil	1	1	Morocco
2026	Haiti	0	1	Scotland
2026	United States	4	1	Paraguay
2026	Australia	2	0	Turkey
2026	Germany	7	1	Curacao
2026	Ivory Coast	1	0	Ecuador
2026	Netherlands	2	2	Japan
2026	Sweden	5	1	Tunisia
2026	Belgium	1	1	Egypt
2026	Iran	2	2	New Zealand
2026	Spain	0	0	Cape Verde
2026	Saudi Arabia	1	1	Uruguay
